Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors
GoodLeap,$12.00,13/10/2021,United States,Roseville,Financial Services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Xingsheng Selected,$12.00,22/07/2020,China,Changsha,Consumer & Retail,"KKR, Tencent Holdings, Sequoia Capital China"
Deel,$12.00,21/04/2021,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Spark Capital, Y Combinator"
Airtable,$11.70,15/11/2018,United States,San Francisco,Enterprise Tech,"Caffeinated Capital, CRV, Founder Collective"
BYJU's,$11.50,25/07/2017,India,Bengaluru,Consumer & Retail,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
ZongMu Technology,$11.40,3/06/2021,China,Shanghai,Industrials,"LTW Capital, Legend Capital, Qualcomm Ventures"
Global Switch,$11.10,22/12/2016,United Kingdom,London,Enterprise Tech,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Checkout.com,$11.00,2/05/2019,United Kingdom,London,Financial Services,"Tiger Global Management, Insight Partners, DST Global"
Bolt,$11.00,8/10/2021,United States,San Francisco,Financial Services,"Activant Capital, Tribe Capital, General Atlantic"
Alchemy,$10.20,28/10/2021,United States,San Francisco,Enterprise Tech,"DFJ Growth Fund, Coatue Management, Addition"
Huolala,$10.00,21/02/2019,China,Guangzhou,Industrials,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Gusto,$10.00,18/12/2015,United States,San Francisco,Financial Services,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Chehaoduo,$10.00,12/03/2016,China,Beijing,Consumer & Retail,"Sequoia Capital China, GX Capital"
Talkdesk,$10.00,3/10/2018,United States,San Francisco,Enterprise Tech,"DJF, Salesforce Ventures, Storm Ventures"
Notion,$10.00,1/04/2020,United States,San Francisco,Enterprise Tech,"Index Ventures, Draft Ventures, Felicis Ventures"
Digital Currency Group,$10.00,1/11/2021,United States,New York,Financial Services,"Ribbit Capital, capitalG, Softbank Group"
KuCoin,$10.00,10/05/2022,Seychelles,Victoria,Financial Services,"IDG Capital, Matrix Partners China, Jump Crypto"
ServiceTitan,$9.50,14/11/2018,United States,Glendale,Industrials,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
HEYTEA,$9.28,1/07/2019,China,Shenzhen,Consumer & Retail,"Sequoia Capital China, Tencent Investment, BA Capital"
N26,$9.23,10/01/2019,Germany,Berlin,Financial Services,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Navan,$9.20,8/11/2018,United States,Palo Alto,Enterprise Tech,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
VAST Data,$9.10,16/04/2020,United States,New York,Enterprise Tech,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Northvolt,$9.08,12/06/2019,Sweden,Stockholm,Industrials,"Vattenfall, Volkswagen Group, Goldman Sachs"
Tanium,$9.00,31/03/2015,United States,Kirkland,Enterprise Tech,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Niantic,$9.00,24/11/2017,United States,San Francisco,Media & Entertainment,"Nintendo, Google, Pokemon Company International, Spark Capital"
OYO Rooms,$9.00,25/09/2018,India,Gurugram,Consumer & Retail,"SoftBank Group, Sequoia Capital India, Lightspeed India Partners"
Rapyd,$8.75,3/12/2019,United Kingdom,London,Financial Services,"Target Global, General Catalyst, Durable Capital Partners"
Kavak,$8.70,1/10/2020,Mexico,Lerma de Villada,Industrials,"DST Global, SoftBank Group, Mountain Nazca"
Nuro,$8.60,11/02/2019,United States,Mountain View,Industrials,"SoftBank Group, Greylock Partners, Gaorong Capital"
Chainalysis,$8.60,23/11/2020,United States,New York,Financial Services,"Addition, Benhcmark, Accel"
Pony.ai,$8.60,11/07/2018,United States,Fremont,Industrials,"Sequoia Capital China, IDG Capital, DCM Ventures"
Personio,$8.50,19/01/2021,Germany,Munich,Enterprise Tech,"Global Founders Capital, Nortzone Ventures, Picus Capital"
SumUp,$8.50,16/07/2019,United Kingdom,London,Financial Services,"American Express Ventures, Goldman Sachs, Bain Capital Credit"
Bolt,$8.40,29/05/2018,Estonia,Tallinn,Industrials,"Didi Chuxing, Diamler, TMT Investments"
Tipalti,$8.30,6/10/2020,United States,San Mateo,Enterprise Tech,"01 Advisors, Zeev Ventures, Group 11"
Swiggy,$8.00,21/06/2018,India,Bengaluru,Consumer & Retail,"Accel India, SAIF Partners, Norwest Venture Partners"
Dream11,$8.00,9/04/2019,India,Mumbai,Media & Entertainment,"Kaalari Capital, Tencent Holdings, Steadview Capital"
Fireblocks,$8.00,27/07/2021,United States,New York,Financial Services,"Tenaya Capital, Coatue Management, Stripes Group"
Flexport,$8.00,30/04/2018,United States,San Francisco,Industrials,"Bloomberg Beta, Founders Fund, First Round Capital"
FalconX,$8.00,10/08/2021,United States,San Mateo,Financial Services,"Tiger Global Management, American Express Ventures, B Capital Group"
Caris,$7.83,12/05/2021,United States,Irving,Healthcare & Life Sciences,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Ramp,$7.65,29/03/2021,United States,New York,Enterprise Tech,"D1 Capital Partners, Stripe, Coatue Management"
Dapper Labs,$7.60,30/03/2021,Canada,Vancouver,Media & Entertainment,"Union Square Ventures, Venrock, Andreessen Horowitz"
Netskope,$7.50,13/11/2018,United States,Santa Clara,Enterprise Tech,"Lightspeed Venture Partners, Social Capital, Accel"
Razorpay,$7.50,11/10/2020,India,Bengaluru,Financial Services,"Sequoia Capital India, Tiger Global Management, Matrix Partners India"
Automattic,$7.50,27/05/2013,United States,San Francisco,Media & Entertainment,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
Carta,$7.40,6/05/2019,United States,San Francisco,Financial Services,"Menlo Ventures, Spark Capital, Union Square Ventures"
Snyk,$7.40,21/01/2020,United States,Boston,Enterprise Tech,"BOLDstart Ventures, Google Ventures, Accel"
Gong,$7.25,12/08/2020,United States,Palo Alto,Enterprise Tech,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
Gemini,$7.10,19/11/2021,United States,New York,Financial Services,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
Blockchain.com,$7.00,17/02/2021,United Kingdom,London,Financial Services,"Lightspeed Venture Partners, Google Ventures, Lakestar"
Toss,$7.00,9/12/2018,South Korea,Seoul,Financial Services,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
We Doctor,$7.00,22/09/2015,China,Hangzhou,Healthcare & Life Sciences,"Tencent, Morningside Group"
Ro,$7.00,27/07/2020,United States,New York,Healthcare & Life Sciences,"Initialized Capital, General Catalyst, SignalFire"
ConsenSys,$7.00,17/11/2021,United States,New York,Enterprise Tech,"Third Point, Electric Capital, Coinbase Ventures"
Automation Anywhere,$6.80,2/07/2018,United States,San Jose,Enterprise Tech,"General Atlantic, Goldman Sachs, New Enterprise Associates"
1Password,$6.80,8/07/2021,Canada,Toronto,Enterprise Tech,"Slack Fund, Accel, Skip Capital"
Klarna,$6.70,12/12/2011,Sweden,Stockholm,Financial Services,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Ziroom,$6.60,17/01/2018,China,Beijing,Consumer & Retail,"Sequoia Capital China, Warburg Pincus, General Catalyst"
SVOLT,$6.51,8/06/2020,China,Changzhou,Industrials,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
National Stock Exchange of India,$6.50,1/07/2020,India,Mumbai,Financial Services,"TA Associates, SoftBank Group, GS Growth"
Mollie,$6.50,8/09/2020,Netherlands,Amsterdam,Financial Services,Technology Crossover Ventures
Doctolib,$6.40,19/03/2019,France,Paris,Healthcare & Life Sciences,"BPI France, Kerala Ventures, Accel"
CRED,$6.40,6/04/2021,India,Bengaluru,Financial Services,"Tiger Global Management, DST Global, Sequoia Capital India"
DataRobot,$6.30,29/07/2019,United States,Boston,Enterprise Tech,"New Enterprise Associates, Accomplice, IA Ventures"
Upgrade,$6.28,12/02/2018,United States,San Francisco,Financial Services,"Union Square Ventures, Ribbit Capital, VY Capital"
Mistral AI,$6.22,10/12/2023,France,Paris,Enterprise Tech,"Lightspeed Venture Partners, General Catalyst, Andreessen Horowitz"
Hinge Health,$6.20,6/01/2021,United States,San Francisco,Healthcare & Life Sciences,"Atomico, Insight Partners, Coatue Management"
Black Unicorn Factory,$6.10,20/05/2021,United States,Los Angeles,Enterprise Tech,Barter Ventures
Benchling,$6.10,14/04/2021,United States,San Francisco,Healthcare & Life Sciences,"Thrive Capital, Benchmark, MenloVentures"
Grafana Labs,$6.00,25/03/2021,United States,New York,Enterprise Tech,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
Applied Intuition,$6.00,22/10/2020,United States,Sunnyvale,Industrials,"Andreessen Horowitz, Lux Capital, General Catalyst"
Commure,$6.00,16/09/2021,United States,San Francisco,Healthcare & Life Sciences,"General Catalyst, HCA Healthcare"
Royole Corporation,$6.00,18/08/2015,China,Shenzhen,Industrials,"Warmsun Holding, IDG Capital Partners"
iCapital Network,$6.00,27/07/2021,United States,New York,Financial Services,"BlackRock, Blackstone, UBS"
6Sense,$5.20,30/03/2021,United States,San Francisco,Enterprise Tech,"Venrock, Battery Ventures, Insight Partners"
Attentive,$5.99,23/09/2020,United States,Hoboken,Enterprise Tech,"NextView Ventures, Eniac Ventures, Sequoia Capital"
Easyhome,$5.78,12/02/2018,China,Beijing,Consumer & Retail,"Alibaba Group, Boyu Capital, Borui Capital"
Lianjia,$5.77,7/04/2016,China,Beijing,Financial Services,"Tencent, Baidu, Huasheng Capital"
Workato,$5.70,12/01/2021,United States,Mountain View,Enterprise Tech,"Battery Ventures, Storm Ventures, Redpoint Ventures"
Back Market,$5.70,18/05/2021,France,Paris,Consumer & Retail,"Aglae Ventures, Eurazeo, Daphni"
RELEX,$5.70,17/02/2022,Finland,Helsinki,Consumer & Retail,"Blackstone, Technology Crossover Ventures, Summit Partners"
The Boring Company,$5.70,20/04/2022,United States,Pflugerville,Industrials,"VY Capital, 8VC, Craft Ventures"
Postman,$5.60,11/06/2020,United States,San Francisco,Enterprise Tech,"Nexus Venture Partners, CRV, Insight Partners"
FiveTran,$5.60,30/06/2020,United States,Oakland,Enterprise Tech,"Matrix Partners, Andreessen Horowitz, General Catalyst"
ContentSquare,$5.60,25/05/2021,France,Paris,Enterprise Tech,"Highland Europe, Eurazeo, Canaan Partners"
Helsing,$5.37,14/09/2023,Germany,Munchen,Enterprise Tech,
Trade Republic,$5.36,20/05/2021,Germany,Berlin,Financial Services,"Founders Fund. Accel, Creandum"
Rappi,$5.25,31/08/2018,Colombia,Bogota,Consumer & Retail,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
Collibra,$5.25,29/01/2019,Belgium,Brussels,Enterprise Tech,"Index Ventures, Battery Ventures, ICONIQ Capital"
OneTrust,$4.50,11/07/2019,United States,Atlanta,Enterprise Tech,Insight Partners
QuintoAndar,$5.10,9/09/2019,Brazil,Campinas,Financial Services,"Kaszek Ventures, General Atlantic, SoftBank Group"
Monzo,$5.20,31/10/2018,United Kingdom,London,Financial Services,"Passion Capital, Thrive Capital, Orange Digital Ventures"
C6 Bank,$5.05,2/12/2020,Brazil,Sao Paulo,Financial Services,Credit Suisse
Safe Superintelligence,$5.00,4/09/2024,United States,San Francisco,Enterprise Tech,"Sequoia Capital, DST Global, Andreessen Horowitz"
Redwood Materials,$5.00,28/07/2021,United States,Carson City,Industrials,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"
Abnormal Security,$5.10,10/05/2022,United States,San Francisco,Enterprise Tech,"Greylock Partners, Insight Partners,Menlo Ventures"
Hello TransTech,$5.00,1/06/2018,China,Shanghai,Industrials,"Ant Financial Services Group, GGV Capital"
Airwallex,$5.50,25/03/2019,Australia,Melbourne,Financial Services,"DST Global, Sequoia Capital China, Tencent Holdings"
Mambu,$5.50,6/01/2021,Netherlands,Amsterdam,Financial Services,"Runa Capital, Acton Capital Partners, Point Nine Capital"
Horizon Robotics,$5.00,27/02/2019,China,Beijing,Industrials,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
Howden Group Holdings,$5.00,29/09/2020,United Kingdom,London,Insurance,"General Atlantic, 3i Group, Huagai Capital"
SambaNova Systems,$5.00,13/04/2021,United States,Palo Alto,Enterprise Tech,"Walden International, Google Ventures, Intel Capital"
ZEPZ,$5.00,23/08/2021,United Kingdom,London,Financial Services,"Accel, Technology Crossover Ventures, LeapFrog Investments"
OakNorth Bank,$5.00,12/10/2017,United Kingdom,London,Financial Services,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Moon Active,$5.00,26/01/2020,Israel,Tel Aviv,Media & Entertainment,"Insight Partners, Andalusian Capital Partners"
OfBusiness,$5.00,31/07/2021,India,Gurgaon,Industrials,"Matrix Partners India, Falcon Edge Capital, SoftBank Group"
Cockroach Labs,$5.00,12/01/2021,United States,New York,Enterprise Tech,"Google Ventures, Benchmark, FirstMark Capital"
Pine Labs,$5.00,24/01/2020,India,Noida,Financial Services,"Sequoia Capital India, Temasek, PayPal Ventures"
Qonto,$5.00,11/01/2022,France,Paris,Enterprise Tech,"Alven Capital, Valar Ventures, Tencent Holdings"
Ola Electric Mobility,$5.50,2/07/2019,India,Bengaluru,Industrials,"SoftBank Group, Tiger Global Management, Matrix Partners India"
Icertis,$5.00,17/07/2019,United States,Bellevue,Enterprise Tech,"Eight Roads Ventures, Greycroft, Ignition Partners"
Hopper,$5.00,24/03/2021,Canada,Montreal,Consumer & Retail,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures"
VerSe Innovation,$5.00,22/12/2020,India,Bengaluru,Media & Entertainment,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
Lenskart,$5.00,20/12/2019,India,Faridabad,Consumer & Retail,"Chiratae Ventures, PremjiInvest, Softbank"
ShareChat,$5.00,8/04/2021,India,Bengaluru,Media & Entertainment,"India Quotient, Elevation Capital, Lightspeed Venture Partners"
Coalition,$5.00,17/03/2021,United States,San Francisco,Insurance,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
Zepto,$4.94,25/08/2023,India,Mumbai,Consumer & Retail,"Nexus Venture Partners, Contrary, Global Founders Capital"
Meesho,$3.50,5/04/2021,India,Bengaluru,Consumer & Retail,"Venture Highway, Sequoia Capital India, Prosus Ventures"
Cerebral,$4.80,10/06/2021,United States,San Francisco,Healthcare & Life Sciences,"Oak HC/FT Partners, Artis Ventures, WestCap Group"
Reify Health,$4.80,10/08/2021,United States,Boston,Healthcare & Life Sciences,"Sierra Ventures, Battery Ventures, Asset Management Ventures"
Chipone,$4.73,16/12/2021,China,Beijing,Industrials,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
BetterUp,$4.70,25/02/2021,United States,San Francisco,Enterprise Tech,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
Pleo,$4.70,6/07/2021,Denmark,Copenhagen,Enterprise Tech,"Creandum, Founders, Kinnevik"
SonarSource,$4.70,26/04/2022,Switzerland,Geneva,Enterprise Tech,"Advent International,General Catalyst,Insight Partners"
Lyra Health,$5.85,25/08/2020,United States,Burlingame,Healthcare & Life Sciences,"Greylock Partners, Venrock, Providence Ventures"
Checkr,$4.60,19/09/2019,United States,San Francisco,Enterprise Tech,"Y Combinator, Accel, T. Rowe Price"
Glean,$4.60,18/05/2022,United States,Palo Alto,Enterprise Tech,"General Catalyst, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners"
Skims,$4.00,9/04/2021,United States,Los Angeles,Consumer & Retail,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
Color,$4.60,4/01/2021,United States,Burlingame,Healthcare & Life Sciences,"General Catalyst, Viking Global Investors, T. Rowe Price"
Lendable,$4.58,31/03/2021,United Kingdom,London,Financial Services,"Ontario Teachers' Pension Plan, Goldman Sachs"
Vinted,$4.53,27/11/2019,Lithuania,Vilnius,Consumer & Retail,"Accel, Insight Partners, Burda Principal Investments"
VIPKid,$4.50,4/08/2016,China,Beijing,Consumer & Retail,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Socure,$4.50,16/03/2021,United States,New York,Financial Services,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
wefox,$4.50,5/03/2019,Germany,Berlin,Insurance,"Salesforce Ventures, Seedcamp, OMERS Ventures"
Hugging Face,$4.50,9/05/2022,United States,New York,Enterprise Tech,"Betaworks Ventures, Addition, Lux Capital"
Outreach,$4.40,16/04/2019,United States,Seattle,Enterprise Tech,"Mayfield Fund, M12, Trinity Ventures"
Alan,$4.46,19/04/2021,France,Paris,Healthcare & Life Sciences,"Index Ventures, Temasek, Portag3 Ventures"
WeRide,$4.40,23/12/2020,China,Guangzhou,Industrials,"Atop Capital, IDInvest Partners, Qiming Venture Partners"
Guild Education,$4.40,13/11/2019,United States,Denver,Enterprise Tech,"General Atlantic, Blackstone, ICONIQ Growth"
Arctic Wolf Networks,$4.30,22/10/2020,United States,Eden Prairie,Enterprise Tech,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
OutSystems,$4.30,5/06/2018,United States,Boston,Enterprise Tech,"KKR, ES Ventures, North Bridge Growth Equity"
Sorare,$4.30,21/09/2021,France,Paris,Media & Entertainment,"Benchmark, Accel, SoftBank Group"
Zipline,$4.20,20/05/2019,United States,South San Francisco,Industrials,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
Relativity,$4.20,23/11/2020,United States,Inglewood,Industrials,"Playground Global, Bond, Tribe Capital"
Miaoshou Doctor,$4.25,27/06/2019,China,Beijing,Healthcare & Life Sciences,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
ThoughtSpot,$4.20,8/05/2018,United States,Sunnyvale,Enterprise Tech,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
Globalization Partners,$4.20,24/01/2022,United States,Boston,Enterprise Tech,"Vista Equity Partners, Wincove, TDR Capital"
dbt Labs,$4.20,30/06/2021,United States,Philadelphia,Enterprise Tech,"Andreessen Horowitz, Amplify Partners, Sequoia Capital"
SSENSE,$4.15,8/06/2021,Canada,Montreal,Consumer & Retail,Sequoia Capital
Dataminr,$4.10,4/06/2018,United States,New York,Enterprise Tech,"Venrock, Institutional Venture Partners, Goldman Sachs"
BitPanda,$4.11,16/03/2021,Austria,Vienna,Financial Services,"Speedinvest, Valar Ventures, Uniqa Ventures"
Weee!,$4.10,16/03/2021,United States,Fremont,Consumer & Retail,"Goodwater Capital, iFly, XVC Venture Capital"
AlphaSense,$4.00,15/06/2022,United States,New York,Enterprise Tech,"Viking Global Investors, GS Growth, BlackRock"
Skydance Media,$4.00,11/02/2020,United States,Santa Monica,Media & Entertainment,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
The Brandtech Group,$4.00,19/11/2019,United States,New York,Enterprise Tech,Undisclosed
Houzz,$4.00,30/09/2014,United States,Palo Alto,Consumer & Retail,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
Yello Mobile,$4.00,11/11/2014,South Korea,Seoul,Consumer & Retail,Formation 8
Inflection AI,$4.00,13/05/2022,United States,Palo Alto,Enterprise Tech,"Gates Frontier, Greylock Partners, Horizons Ventures"
MEGVII,$4.00,31/10/2017,China,Beijing,Enterprise Tech,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Greensill,$4.00,16/07/2018,United Kingdom,London,Financial Services,"SoftBank Group, General Atlantic"
Impossible Foods,$4.00,13/05/2019,United States,Redwood City,Consumer & Retail,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
Radiology Partners,$4.00,26/02/2018,United States,El Segundo,Healthcare & Life Sciences,"New Enterprise Associates, Starr Investment Holdings"
Next Insurance,$4.00,7/10/2019,United States,Palo Alto,Insurance,"Zeev Ventures, Ribbit Capital, TLV Partners"
PointClickCare,$4.00,7/01/2021,Canada,Mississauga,Healthcare & Life Sciences,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity"
Zapier,$4.00,14/01/2021,United States,Sunnyvale,Enterprise Tech,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures"
Clubhouse,$4.00,24/01/2021,United States,San Francisco,Media & Entertainment,"Andreessen Horowitz, TQ Ventures"
BrowserStack,$4.00,16/06/2021,Ireland,Dublin,Enterprise Tech,"Accel, Insight Partners, Bond Capital"
Melio,$4.00,25/01/2021,United States,New York,Financial Services,"Accel, Aleph, American Express Ventures"
Vuori,$4.00,13/10/2021,United States,Carlsbad,Consumer & Retail,"SoftBank Group, Norwest Venture Partners"
ClickUp,$4.00,15/12/2020,United States,San Diego,Enterprise Tech,"Georgian Partners, Craft Ventures"
Cerebras Systems,$4.00,14/11/2018,United States,Los Altos,Enterprise Tech,"Benchmark, Foundation Capital, Sequoia Capital"
Farmers Business Network,$4.00,3/08/2020,United States,San Carlos,Industrials,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
Branch,$4.00,10/09/2018,United States,Redwood City,Enterprise Tech,"New Enterprise Associates, Pear, Cowboy Ventures"
Aurora Solar,$4.00,24/05/2021,United States,San Francisco,Industrials,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital"
Webflow,$4.00,13/01/2021,United States,San Francisco,Enterprise Tech,"Accel, Silversmith Capital Partners, capitalG"
Yuga Labs,$4.00,22/03/2022,United States,Miami,Media & Entertainment,"Andreessen Horowitz, Thrive Capital, Sound Ventures"
Medlinker,$3.92,31/07/2018,China,Chengdu,Healthcare & Life Sciences,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
StockX,$3.80,26/06/2019,United States,Detroit,Consumer & Retail,"Google Ventures, Battery Ventures, DST Global"
MessageBird,$3.80,8/10/2020,Netherlands,Amsterdam,Enterprise Tech,"Y Combinator, Atomico, Accel"
Articulate,$3.75,1/07/2021,United States,New York,Enterprise Tech,"Blackstone, ICONIQ Growth, General Atlantic"
Dutchie,$3.75,16/03/2021,United States,Bend,Consumer & Retail,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures"
Cohesity,$3.70,11/06/2018,United States,San Jose,Enterprise Tech,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Dataiku,$3.70,4/12/2019,United States,New York,Enterprise Tech,"Alven Capital, FirstMark Capital, capitalG"
GOAT,$3.70,23/09/2020,United States,Culver City,Consumer & Retail,"Upfront Ventures, Webb Investment Network, D1 Capital Partners"
Noom,$3.70,24/05/2021,United States,New York,Healthcare & Life Sciences,"Qualcomm Ventures, Samsung Ventures, Silver Lake"
Papaya Global,$3.70,4/03/2021,United States,New York,Enterprise Tech,"Bessemer Venture Partners, Insight Partners, New Era Ventures"
Abogen,$3.70,29/11/2021,China,Suzhou,Healthcare & Life Sciences,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners"
Harness,$3.70,14/01/2021,United States,San Francisco,Enterprise Tech,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
Whatnot,$3.70,16/09/2021,United States,Marina del Rey,Consumer & Retail,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
o9 Solutions,$3.70,28/04/2020,United States,Dallas,Enterprise Tech,KKR
Autograph,$3.66,20/01/2022,United States,Santa Monica,Media & Entertainment,01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz
Relativity,$3.60,18/03/2021,United States,Chicago,Enterprise Tech,"Silver Lake, ICONIQ Capital"
Whoop,$3.60,28/10/2020,United States,Boston,Healthcare & Life Sciences,"NextView Ventures, Promus Ventures, Two Sigma Ventures"
